Name,Calories,Fat,Protein,Carbohydrate,Sugar,Fiber
Glutino Gluten Free Cookies Chocolate Vanilla Creme,474,17.89,2.19,76.03,49,2.5
Glutino Gluten Free Cookies Vanilla Creme,487,18.79,2.19,77.34,49.43,0
Pepperidge Farm Goldfish Baked Snack Crackers Original,467,18.42,9.42,65.81,1.03,2.4
Pepperidge Farm Goldfish Baked Snack Crackers Parmesan,459,17.29,11.16,64.7,0.83,3.5
Pepperidge Farm Goldfish Baked Snack Crackers Pizza,469,18.93,9.67,65.11,0.86,3.5
Rudis Gluten-Free Bakery Original Sandwich Bread,320,10.7,3.13,52.83,8.36,3.5
Udis Gluten Free Soft & Delicious White Sandwich Bread,298,8.02,5.4,51.15,11.3,5.5
Udis Gluten Free Soft & Hearty Whole Grain Bread,309,9.34,7.25,49.09,9.81,4.9
Udis Gluten Free Whole Grain Dinner Rolls,329,11.6,11.8,44.29,4.2,11.2
Vans Gluten Free Totally Original Pancakes,215,4.55,3.31,40.32,4.06,1.5
Seaweed Canadian Cultivated Emi-Tsunomata Dry,259,1.39,15.34,46.24,0,36.7
Seaweed Canadian Cultivated Emi-Tsunomata Rehydrated,31,0.17,1.86,5.62,0,4.5
Potatoes Hash Brown Refrigerated Unprepared,84,0.08,1.75,19.16,0.91,1.8
Potatoes Hash Brown Refrigerated Prepared Pan-Fried In Canola Oil,242,10.3,3.24,33.99,1.16,3.6
Sweet Potatoes French Fried Frozen As Packaged Salt Added In Processing,182,8.92,2.16,35.58,12.9,5.7
Moose Meat Raw (Alaska Native),103,1.5,22.3,0,0,0
Mashu Roots Raw (Alaska Native),135,2.4,5.8,22.6,0,0
Moose Liver Braised (Alaska Native),155,4.89,24.38,3.43,0,0
Seal Bearded (Oogruk) Meat Raw (Alaska Native),110,0.4,26.7,0,0,0
Scrambled Eggs,220,0.4,26.7,0,0,0
Rose donuts,356,11,7.1,56,50,1.2
